Playlist Name,Track Name,Artist Name,Album Name,Track URI,Added Date
representing my mental,The Fear,Lily Allen,"It's Not Me, It's You",spotify:track:7lIyBKp2KX7ABDjDfo9EtL,2024-02-21
representing my mental,It's My Life,No Doubt,The Singles Collection,spotify:track:2fOxxLz9JVe53itq6pfBak,2024-02-21
representing my mental,Louise,TV Girl,French Exit,spotify:track:263KsGZODTZouh3RFGNaLX,2024-02-21
representing my mental,REALiTi - Demo,Grimes,REALiTi,spotify:track:7sjPUfMPloQa1nyvjaQZun,2024-02-21
representing my mental,Next to Normal,Lucius,Second Nature,spotify:track:7EzPpIPQLbHxMMYe8XUOMR,2024-02-21
representing my mental,Everybody's Changing,Keane,Hopes And Fears,spotify:track:0yac0FPhLRH9i9lOng3f81,2024-02-21
representing my mental,Keep Moving,Jungle,Loving In Stereo,spotify:track:6mfQHV1tPWUpme1qi9vYpI,2024-02-21
representing my mental,Tricky To Love,White Lies,BIG TV,spotify:track:5YR9uY6mf1pmF14MyFww7P,2024-02-21
representing my mental,"Relax, Take It Easy",MIKA,Life In Cartoon Motion,spotify:track:0KM2y796j63t5RHhvRUxld,2024-02-23
representing my mental,Cry Cry,Oceana,Love Supply,spotify:track:1WCi6PoKEwU1wJXSD052u4,2024-02-23
representing my mental,Cynical One,TV Girl,Death of a Party Girl,spotify:track:5PaCrBjL6W6Gq60kJzuw9y,2024-02-23
2024!,Empty Room - Cabu Remix,Big Wild,Empty Room,spotify:track:7dEYUkZMdUs7rfOKRMr5lO,2024-01-07
2024!,Cat People (Putting Out Fire) - 2018 Remaster,David Bowie,Let's Dance,spotify:track:25ceFvWSaI3zoy9hhNYDqu,2024-01-07
2024!,Angel,The Weeknd,Beauty Behind The Madness,spotify:track:0wzPHTgOtFIDhk2rD3Au4x,2024-01-07
2024!,Alone,Doja Cat,Planet Her,spotify:track:45Nc6nYgV3yBvAeRaZt689,2024-01-07
2024!,Are You All Good?,breathe.,Breathe.,spotify:track:6bmoA5by5aXQp5hG8cRbyW,2024-01-12
2000s edm (nostalgia core),Adagio For Strings,Tiësto,Just Be,spotify:track:3Q2M6sNKDwoqZGBvwdFqZr,2024-01-07
2000s edm (nostalgia core),It Feels So Good,Sonique,Hear My Cry,spotify:track:4Y8q64VnhD0vFYy9g2WFpi,2024-01-07
2000s edm (nostalgia core),Pjanoo - Radio Edit,Eric Prydz,Pjanoo,spotify:track:0F2BxpbxH8Yc3pLub48hrb,2024-01-07
2000s edm (nostalgia core),Let Me Think About It,Ida Corr,Singled Out,spotify:track:4LjfIjS8iweFCPdKxLnEoV,2024-01-07
2000s edm (nostalgia core),Tell Me Why - Radio Edit,Supermode,Tell Me Why,spotify:track:4yhGkvdYU5bi4950r80FRo,2024-01-07
2000s edm (nostalgia core),In My Mind,Dynoro,In My Mind,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,2024-01-07
2000s edm (nostalgia core),Who Wants To Be Alone (feat. Nelly Furtado),Tiësto,Kaleidoscope,spotify:track:3WfoQvWG7u6BtwtfURGv8F,2024-01-07
2000s edm (nostalgia core),Children,Robert Miles,Children,spotify:track:4wtR6HB3XekEengMX17cpc,2024-01-07
2000s edm (nostalgia core),Sandstorm,Darude,Before the Storm,spotify:track:3dxDj8pDPlIHCIrUPXuCeG,2024-01-07
2000s edm (nostalgia core),Meet Her at the Loveparade - Radio Edit,Da Hool,Meet Her at the Loveparade,spotify:track:3z5fPVImx59TSttFEDZbFJ,2024-01-07
2000s edm (nostalgia core),In And Out Of Love,Armin van Buuren,In And Out of Love,spotify:track:1FzbOPWCZiNxnLjAhY1jAR,2024-01-07
2000s edm (nostalgia core),Silence - DJ Tiësto's in Search of Sunrise Remix,Delerium,Magik Six,spotify:track:47st2meAZHGnG9UJU1YyVU,2024-01-07
2000s edm (nostalgia core),Let Go - Single Edit,Paul van Dyk,Let Go,spotify:track:32UzL4LPJB0uNtmAS1UFq7,2024-01-07
2000s edm (nostalgia core),Satisfaction - Uk Radio Edit,Benny Benassi,Satisfaction,spotify:track:2mRNUz2RbAFf0AkPeQWelt,2024-01-11
2000s edm (nostalgia core),One - Radio Edit,Swedish House Mafia,Until Now,spotify:track:1AQxJtGlb8bqi1vNHL9CRR,2024-01-11
2000s edm (nostalgia core),Born Slippy (Nuxx),Underworld,1992 - 2012,spotify:track:7xQYVjs4wZNdCwO0EeAWMC,2024-01-12
2000s edm (nostalgia core),It's a Fine Day,Opus III,Mind Fruit,spotify:track:67Hp634KZbo9B5WMsJOalE,2024-01-20
2000s edm (nostalgia core),Sky,Sonique,Hear My Cry,spotify:track:7zlkYAQdYPIwagUwO7Dyah,2024-02-24
