platform,searchTime,searchQuery,searchInteractionURIs
IPHONE_ARM64,2023-12-16T20:36:34.135Z[UTC],card,[]
IPHONE,2023-12-16T20:36:35.507Z[UTC],cardi b be ,['spotify:track:2Yl4OmDby9iitgNWZPwxkd']
IPHONE,2023-12-17T12:45:02.223Z[UTC],space song,['spotify:track:1ZgMsA55GIY7ICkQh5MILA']
IPHONE,2023-12-17T22:56:09.855Z[UTC],what a ,[]
IPHONE_ARM64,2023-12-17T22:56:10.381Z[UTC],what a lie,[]
,2023-12-18T00:06:01.544Z[UTC],c,[]
,2023-12-18T00:06:01.782Z[UTC],ca,[]
,2023-12-18T00:06:02.282Z[UTC],can,[]
,2023-12-18T00:06:02.614Z[UTC],cant,[]
,2023-12-18T00:06:02.821Z[UTC],cant ,[]
,2023-12-18T00:06:03.024Z[UTC],cant c,[]
,2023-12-18T00:06:03.386Z[UTC],cant ca,[]
,2023-12-18T00:06:03.655Z[UTC],cant cat,[]
IPHONE_ARM64,2023-12-18T00:06:03.822Z[UTC],cant cat,[]
,2023-12-18T00:06:03.950Z[UTC],cant catc,[]
,2023-12-18T00:06:04.171Z[UTC],cant catch,[]
IPHONE,2023-12-18T00:06:04.367Z[UTC],cant catch,['spotify:track:56xHMIfQPoe0prrSi3BGhf']
IPHONE_ARM64,2023-12-18T08:44:41.978Z[UTC],wei,[]
IPHONE_ARM64,2023-12-18T08:44:42.506Z[UTC],weigh,[]
IPHONE,2023-12-18T08:45:02.787Z[UTC],weight of the world on my shoul,[]
IPHONE,2023-12-19T01:16:02.348Z[UTC],505,['spotify:track:0BxE4FqsDD1Ot4YuBXwAPp']
IPHONE,2023-12-19T19:25:46.548Z[UTC],you ,['spotify:track:2qpacEyFxmbxCpIEqZkqvC']
IPHONE,2023-12-19T22:38:22.959Z[UTC],megan,['spotify:artist:181bsRPaVXVlUKXrxwZfHK']
IPHONE_ARM64,2023-12-19T22:38:50.471Z[UTC], ic,[]
IPHONE_ARM64,2023-12-19T22:38:50.835Z[UTC], icki,[]
IPHONE_ARM64,2023-12-19T22:38:52.151Z[UTC],n,[]
IPHONE_ARM64,2023-12-19T22:38:53.184Z[UTC],nicki ,[]
IPHONE,2023-12-19T22:38:53.968Z[UTC],nicki mina,['spotify:artist:0hCNtLu0JehylgoiP8L4Gh']
IPHONE,2023-12-19T22:47:33.345Z[UTC],rosalia ,['spotify:artist:7ltDVBr6mKbRvohxheJ9h1']
OSX_X86_64,2023-12-20T09:49:05.824Z[UTC],o,[]
IPHONE,2023-12-21T08:12:57.069Z[UTC],keep,['spotify:track:4rf0IVQDFjr27T4sgah5Pf']
IPHONE_ARM64,2023-12-22T10:47:24.479Z[UTC],need,[]
IPHONE,2023-12-22T10:47:26.157Z[UTC],need a break ,"['spotify:track:1406n1HvjVlwx2Ea0DzAA4', 'spotify:track:1406n1HvjVlwx2Ea0DzAA4', 'spotify:track:3XrQGJ0kONDU3Z7mVr9CuN', 'spotify:track:3XrQGJ0kONDU3Z7mVr9CuN']"
IPHONE_ARM64,2023-12-22T12:21:20.966Z[UTC],p,[]
IPHONE,2023-12-22T12:21:22.557Z[UTC],pilspla,['spotify:track:66ydKEoF7uofQdlA9yVsKK']
IPHONE,2023-12-22T13:45:18.384Z[UTC],priva,['spotify:track:52NGJPcLUzQq5w7uv4e5gf']
IPHONE_ARM64,2023-12-22T15:14:02.394Z[UTC],nex,[]
IPHONE,2023-12-22T15:14:03.940Z[UTC],next the week,['spotify:track:4m0KaNb0ClCOvgThd2Gv2b']
IPHONE_ARM64,2023-12-23T21:40:07.745Z[UTC],wh,[]
IPHONE,2023-12-23T21:40:10.330Z[UTC],what to do guy,"['spotify:track:3PpvhYXmJdfoxeXGWJmeas', 'spotify:track:3b8EAvwU10M3FLaTOTwV7R']"
OSX_X86_64,2023-12-23T22:19:40.809Z[UTC],next,[]
IPHONE_ARM64,2023-12-24T17:03:03.379Z[UTC],hur,[]
IPHONE,2023-12-24T17:03:03.751Z[UTC],hurt,['spotify:track:6xsyuFNW7fbHVrUZ4MVm2t']
IPHONE,2023-12-26T08:16:40.279Z[UTC],atte,['spotify:track:11xC6P3iKYpFThT6Ce1KdG']
,2023-12-29T00:34:36.999Z[UTC],t,[]
,2023-12-29T00:34:37.493Z[UTC],ta,[]
,2023-12-29T00:34:37.965Z[UTC],tan,[]
,2023-12-29T00:34:38.289Z[UTC],tana,[]
,2023-12-29T00:34:38.736Z[UTC],tana ,[]
,2023-12-29T00:34:40.911Z[UTC],tana m,[]
,2023-12-29T00:34:41.378Z[UTC],tana ma,[]
,2023-12-29T00:34:41.882Z[UTC],tana mat,[]
,2023-12-29T00:34:45.394Z[UTC],tana matt,[]
,2023-12-29T00:34:46.112Z[UTC],tana matt ,[]
,2023-12-29T00:34:46.638Z[UTC],tana matt b,[]
,2023-12-29T00:34:49.096Z[UTC],tana matt br,[]
,2023-12-29T00:34:49.630Z[UTC],tana matt bro,[]
,2023-12-29T00:34:49.774Z[UTC],tana matt broo,[]
,2023-12-29T00:34:50.029Z[UTC],tana matt brook,[]
,2023-12-29T00:34:50.417Z[UTC],tana matt brooke,[]
IPHONE,2023-12-29T00:34:50.635Z[UTC],tana matt brooke,['spotify:episode:6u2je313wBW9N9sBuatyBD']
,2023-12-29T00:35:13.508Z[UTC],tana matt brook,[]
,2023-12-29T00:35:13.606Z[UTC],tana matt broo,[]
,2023-12-29T00:35:13.777Z[UTC],tana matt bro,[]
,2023-12-29T00:35:14.082Z[UTC],tana matt br,[]
,2023-12-29T00:35:14.170Z[UTC],tana matt b,[]
,2023-12-29T00:35:14.325Z[UTC],tana matt ,[]
,2023-12-29T00:35:14.622Z[UTC],tana matt,[]
,2023-12-29T00:35:19.899Z[UTC],tana matt ,[]
,2023-12-29T00:35:20.728Z[UTC],tana matt r,[]
,2023-12-29T00:35:21.136Z[UTC],tana matt ri,[]
IPHONE_ARM64,2023-12-29T00:35:21.259Z[UTC],tana matt ri,[]
,2023-12-29T00:35:21.529Z[UTC],tana matt rif,[]
,2023-12-29T00:35:21.764Z[UTC],tana matt rife,[]
IPHONE,2023-12-29T00:35:21.970Z[UTC],tana matt rife,"['spotify:episode:7aNBCd96ey8nFlpG9Eijp5', 'spotify:artist:07goIsH5mQVpP6aracPZUR']"
IPHONE,2023-12-29T07:46:44.669Z[UTC],hers,['spotify:track:1XrSjpNe49IiygZfzb74pk']
OSX_X86_64,2023-12-29T09:13:15.493Z[UTC],ka,[]
OSX_X86_64,2023-12-29T09:13:16.869Z[UTC],kaytr,[]
OSX_X86_64,2023-12-29T09:13:17.296Z[UTC],kaytran,[]
OSX_X86_64,2023-12-29T09:25:35.673Z[UTC],house,[]
OSX_X86_64,2023-12-29T09:26:15.848Z[UTC],ho,[]
