Artist,Album,Track Name,Track URI
WILLOW,<COPINGMECHANISM>,Perfectly Not Close To Me (ft. Yves Tumor),spotify:track:0FqkI0vR3Z28v6GSudbKXj
The Beatles,Rubber Soul,In My Life - Remastered 2009,spotify:track:3KfbEIOC7YIv90FIfNSZpo
Lana Del Rey,Blue Banisters,Arcadia,spotify:track:3EZTyh1wJEmreJH1aULPCj
My Chemical Romance,Three Cheers for Sweet Revenge,I'm Not Okay (I Promise),spotify:track:7lRlq939cDG4SzWOF4VAnd
Seekae,Test & Recognise,Test & Recognise - Flume Re-work,spotify:track:24BYTj1tb5ovZcnIbtdTYD
J. Cole,KOD,Photograph,spotify:track:0bhnUFDQFCEHCBlsQfHnj5
Yellow Days,Is Everything Okay In Your World?,I've Been Thinking Too Hard,spotify:track:79DyqCXzTwGvHC93yuAW23
H.E.R.,I Used To Know Her: The Prelude,Could've Been (feat. Bryson Tiller),spotify:track:6lzLjIOyWTyTJvk0jraYee
Heaven,Truth Or Dare,Truth Or Dare,spotify:track:49vq8cIn1KoTUnHybbVvtk
Lana Del Rey,Norman Fucking Rockwell!,How to disappear,spotify:track:4qUtC2BwFC154Ha8YQRrkk
Atmosphere,Southsiders (Deluxe Version),Camera Thief,spotify:track:5Xea8vvidVsdpgGVTeMMDS
Nicki Minaj,Queen,Thought I Knew You (feat. The Weeknd),spotify:track:5vAEnWrHxLv78uwZrAJcX6
Rihanna,Good Girl Gone Bad: Reloaded,Take A Bow,spotify:track:3goSVuTt3fDYDP6kRnFwuL
Mary J. Blige,"Essence Music Festival, Vol. 1: Songs From Our Triumphant Return to New Orleans",Be Without You,spotify:track:72pKaqEww3zHWt5P2MBnMJ
Ninja Sex Party,"Under the Covers, Vol. II",Africa,spotify:track:5IHEdF6MgXf40QE3RDHtzt
Billie Eilish,Bellyache,bellyache,spotify:track:51NFxnQvaosfDDutk0tams
The Smiths,Louder Than Bombs,Back to the Old House - 2011 Remaster,spotify:track:6LUGvXEAK8WxIBYK43uoTb
Placebo,Meds,Meds,spotify:track:5fVTi3rIiLvsEVYp0cRvaI
"Tyler, The Creator",IGOR,I DON'T LOVE YOU ANYMORE,spotify:track:5A0M6B0RBSXSNWv0wcppZ9
The Doors,Morrison Hotel,Roadhouse Blues,spotify:track:1Q5kgpp4pmyGqPwNBzkSrw
Aphex Twin,Selected Ambient Works 85-92,Green Calx,spotify:track:3fFOi1PqxGjFKmWW21uQNa
Always Never,Where Now,Run Back,spotify:track:4FI7f2Qjnk80fLfK852lDv
Nexeri,Ocean,Ocean,spotify:track:1FIvmJkAeIa3tMGH83LLLG
Gesaffelstein,Aleph,Obsession,spotify:track:63vl9Q4qvKX4zZqtCMC9ZH
